CPUDT,CPUDT
20230727,17601
20230728,18442
20230729,85438
20230730,2311
20230731,12431
20230801,8683
20230802,21507
20230803,42386
20230804,8329
20230805,3126
20230806,2176
20230807,9838
20230808,6260
20230809,4889
20230810,8212
20230811,11174
20230812,5069
20230813,1268
20230814,4803
20230815,5103
20230816,6916
20230817,17213
20230818,5076
20230819,8365
20230820,1074
20230821,5612
20230822,7506
20230823,7385
20230824,4585
20230825,13278
20230826,3519
20230827,1074
20230828,83888
20230829,11624
20230830,8071
20230831,11907
20230901,1358
20230902,1290
20230903,949
20230904,1545
20230905,13869
20230906,13950
20230907,14914
20230908,12302
20230909,2056
20230910,1438
20230911,7040
20230912,6465
20230913,5728
20230914,6043
20230915,8777
20230916,6418
20230917,2890
20230918,6025
20230919,8824
20230920,8404
20230921,11530
20230922,10957
20230923,9505
20230924,825
20230925,38873
20230926,49548
20230927,20407
20230928,6831
20230929,7385
20230930,2914
20231001,945
20231002,15701
20231003,20541
20231004,35839
20231005,35150
20231006,7911
20231007,6552
20231008,937
20231009,24736
20231010,23073
20231011,22571
20231012,7584
20231013,16511
20231014,5148
20231015,1312
20231016,5267
20231017,4673
