CPUDT,CPUDT
20190414,46
20190415,10
20190416,3410
20190417,3245
20190418,2764
20190419,6948
20190420,6883
20190421,38
20190422,2903
20190423,11647
20190424,3742
20190425,3477
20190426,7902
20190427,501
20190428,164
20190429,141
20190430,63
20190501,445
20190502,17417
20190503,48229
20190504,7224
20190505,679
20190506,4937
20190507,45622
20190508,3865
20190509,3690
20190510,3610
20190511,2044
20190512,59
20190513,4171
20190514,19523
20190515,23331
20190516,5578
20190517,7373
20190518,4851
20190519,154
20190520,3678
20190521,28538
20190522,2926
20190523,7770
20190524,10292
20190525,3062
20190526,189
20190527,8394
20190528,10037
20190529,18001
20190530,7641
20190531,12676
20190601,17692
20190602,422
20190603,14999
20190604,11980
20190605,9881
20190606,3547
20190607,6480
20190608,3315
20190609,437
20190610,4608
20190611,4912
20190612,3831
20190613,5722
20190614,4824
20190615,10945
20190616,366
20190617,6522
20190618,7941
20190619,3805
20190620,3969
20190621,7865
20190622,2849
20190623,404
20190624,2588
20190625,3753
20190626,4845
20190627,12927
20190628,8748
20190629,7742
20190630,351
20190701,23103
20190702,27278
20190703,15232
20190704,7843
20190705,7684
20190706,5568
20190707,1289
20190708,6696
20190709,11759
20190710,5221
20190711,10900
20190712,9241
20190713,7377
20190714,1062
20190715,11460
20190716,11797
20190717,6510
20190718,10483
20190719,6797
20190720,7159
20190721,693
20190722,8253
20190723,9397
20190724,7147
20190725,13727
20190726,19059
20190727,14791
20190728,241
20190729,12728
20190730,14400
20190731,11954
20190801,25965
20190802,31504
20190803,10929
20190804,403
20190805,5921
20190806,6985
20190807,7414
20190808,4037
20190809,3498
20190810,3035
20190811,360
20190812,4683
20190813,4190
20190814,9001
20190815,7594
20190816,4045
20190817,10459
20190818,1668
20190819,10168
20190820,8750
20190821,5725
20190822,4186
20190823,5620
20190824,3960
20190825,3002
20190826,7943
20190827,32455
20190828,24845
20190829,17856
20190830,13604
20190831,506
20190901,233
20190902,4339
20190903,37616
20190904,14212
20190905,11049
20190906,5398
20190907,7448
20190908,405
20190909,9617
20190910,5952
20190911,11316
20190912,11185
20190913,4754
20190914,1968
20190915,489
20190916,11138
20190917,9344
20190918,7740
20190919,6077
20190920,15260
20190921,21700
20190922,9732
20190923,12662
20190924,16159
20190925,17177
20190926,47302
20190927,16594
20190928,4769
20190929,299
20190930,14585
20191001,29496
20191002,11834
20191003,6658
20191004,5352
20191005,26662
20191006,393
20191007,4380
20191008,4949
20191009,3894
20191010,4789
20191011,5072
20191012,3239
20191013,382
20191014,4180
20191015,4958
20191016,5956
20191017,6279
20191018,11317
20191019,2564
20191020,98
20191021,9585
20191022,7026
20191023,5133
20191024,9128
20191025,6285
20191026,15717
20191027,210
20191028,7163
20191029,11829
20191030,7479
20191031,19876
20191101,38254
20191102,19381
20191103,1416
20191104,9408
20191105,6165
20191106,6615
20191107,5325
20191108,5425
20191109,3606
20191110,313
20191111,5144
20191112,45357
20191113,55586
20191114,4871
20191115,3870
20191116,4023
20191117,298
20191118,7763
20191119,3367
20191120,41035
20191121,33858
20191122,16585
20191123,3641
20191124,209
20191125,53715
20191126,10528
20191127,9453
20191128,22452
20191129,24015
20191130,10758
20191201,1528
20191202,10190
20191203,8470
20191204,4912
20191205,4166
20191206,3175
20191207,1776
20191208,405
20191209,6160
20191210,4736
20191211,3999
20191212,4786
20191213,6162
20191214,4037
20191215,346
20191216,4284
20191217,5080
20191218,6936
20191219,8764
20191220,6986
20191221,6635
20191222,244
20191223,74370
20191224,67118
20191225,48319
20191226,12987
20191227,10448
20191228,1398
20191229,599
20191230,46276
20191231,6823
20200101,3382
20200102,10847
20200103,8973
20200104,7808
20200105,241
20200106,6080
20200107,4120
20200108,3490
20200109,4311
20200110,4836
20200111,2191
20200112,388
20200113,3663
20200114,7100
20200115,3950
20200116,6235
20200117,57641
20200118,4366
20200119,871
20200120,100362
20200121,12186
20200122,486
20200123,211
20200124,144
20200125,31
20200126,16
20200127,29
20200128,63
20200129,107
20200130,391
20200131,485
20200201,189
20200202,117
20200203,5792
20200204,9105
20200205,15611
20200206,10395
20200207,6931
20200208,6351
20200209,143
20200210,4538
20200211,5025
20200212,4037
20200213,5149
20200214,3573
20200215,2410
20200216,294
20200217,7527
20200218,18523
20200219,69836
20200220,8695
20200221,5760
20200222,29178
20200223,186
20200224,31719
20200225,4557
20200226,33014
20200227,19161
20200228,38135
20200229,33719
20200301,489
20200302,54630
20200303,11227
20200304,13285
20200305,5612
20200306,2666
20200307,6242
20200308,346
20200309,6503
20200310,33945
20200311,16347
20200312,6774
20200313,2490
20200314,2120
20200315,462
20200316,13369
20200317,30639
20200318,30262
20200319,67493
20200320,44775
20200321,4100
20200322,940
20200323,6248
20200324,61183
20200325,6834
20200326,10020
20200327,8550
20200328,3551
20200329,3017
20200330,12734
20200331,14493
20200401,26675
20200402,5896
20200403,47057
20200404,5274
20200405,4316
20200406,7643
20200407,2919
20200408,3780
20200409,3462
20200410,2600
20200411,7875
20200412,7255
20200413,6772
20200414,2589
20200415,6717
20200416,37042
20200417,2444
20200418,11270
20200419,422
20200420,99835
20200421,47252
20200422,3172
20200423,2710
20200424,5841
20200425,2116
20200426,58208
20200427,9056
20200428,9283
20200429,6035
20200430,747
20200501,526
20200502,3527
20200503,5325
20200504,12157
20200505,4604
20200506,5993
20200507,5278
20200508,4011
20200509,4339
20200510,1422
20200511,5163
20200512,5700
20200513,3662
20200514,3736
20200515,4009
20200516,2735
20200517,380
20200518,34787
20200519,52241
20200520,37447
20200521,11883
20200522,3495
20200523,5173
20200524,345
20200525,5780
20200526,6933
20200527,5634
20200528,86556
20200529,11917
20200530,14505
20200531,14896
20200601,17146
20200602,12534
20200603,18582
20200604,6733
20200605,6083
20200606,3564
20200607,489
20200608,4929
20200609,6513
20200610,6220
20200611,6106
20200612,7237
20200613,4955
20200614,416
20200615,3347
20200616,5782
20200617,6537
20200618,23123
20200619,42617
20200620,19062
20200621,423
20200622,37443
20200623,7840
20200624,7501
20200625,9603
20200626,10293
20200627,54148
20200628,387
20200629,65343
20200630,10521
20200701,37482
20200702,33502
20200703,19349
20200704,4600
20200705,465
20200706,5039
20200707,6380
20200708,24648
20200709,4438
20200710,4585
20200711,3048
20200712,531
20200713,4728
20200714,4244
20200715,4624
20200716,20967
20200717,33192
20200718,21653
20200719,409
20200720,12475
20200721,36552
20200722,63143
20200723,22102
20200724,6791
20200725,10737
20200726,293
20200727,30283
20200728,51610
20200729,20124
20200730,11342
20200731,19832
20200801,7409
20200802,1777
20200803,29869
20200804,35801
20200805,32685
20200806,6283
20200807,7334
20200808,3546
20200809,650
20200810,6031
20200811,8167
20200812,9304
20200813,5050
20200814,5253
20200815,4044
20200816,341
20200817,60749
20200818,33137
20200819,4505
20200820,4967
20200821,5575
20200822,3269
20200823,1270
20200824,6294
20200825,8776
20200826,12216
20200827,48121
20200828,66811
20200829,1858
20200830,979
20200831,18741
20200901,15639
20200902,1593
20200903,48591
20200904,11546
20200905,14194
20200906,523
20200907,5445
20200908,3718
20200909,6842
20200910,6580
20200911,12447
20200912,517
20200913,427
20200914,29302
20200915,12099
20200916,11341
20200917,7760
20200918,47008
20200919,66110
20200920,317
20200921,7484
20200922,6455
20200923,7386
20200924,16257
20200925,25531
20200926,50233
20200927,26576
20200928,12239
20200929,12482
20200930,23155
20201001,27636
20201002,28383
20201003,51696
20201004,16125
20201005,6960
20201006,6667
20201007,5207
20201008,5539
20201009,6438
20201010,1136
20201011,796
20201012,40532
20201013,6601
20201014,4889
20201015,13493
20201016,4704
20201017,5883
20201018,623
20201019,4255
20201020,4214
20201021,5088
20201022,5251
20201023,3912
20201024,6727
20201025,1130
20201026,34670
20201027,58125
20201028,12989
20201029,20753
20201030,10162
20201031,18848
20201101,568
20201102,16616
20201103,45127
20201104,20487
20201105,8059
20201106,5248
20201107,1035
20201108,603
20201109,5422
20201110,5217
20201111,5412
20201112,4991
20201113,4741
20201114,3219
20201115,539
20201116,3329
20201117,4493
20201118,6849
20201119,4060
20201120,5040
20201121,913
20201122,355
20201123,41173
20201124,9135
20201125,6585
20201126,8184
20201127,14468
20201128,97092
20201129,955
20201130,12397
20201201,40038
20201202,37058
20201203,57520
20201204,9042
20201205,1805
20201206,886
20201207,5815
20201208,10887
20201209,6846
20201210,6809
20201211,6804
20201212,6877
20201213,739
20201214,4415
20201215,5886
20201216,7993
20201217,4160
20201218,4304
20201219,1620
20201220,3394
20201221,8326
20201222,17181
20201223,5102
20201224,4214
20201225,8052
20201226,5979
20201227,32563
20201228,29282
20201229,74286
20201230,14395
20201231,14307
20210101,5971
20210102,4375
20210103,3174
20210104,18517
20210105,23580
20210106,22676
20210107,27278
20210108,6831
20210109,16079
20210110,484
20210111,4407
20210112,4294
20210113,3863
20210114,4326
20210115,4371
20210116,441
20210117,512
20210118,6003
20210119,8221
20210120,4916
20210121,4383
20210122,6421
20210123,5047
20210124,805
20210125,7445
20210126,12421
20210127,24512
20210128,42126
20210129,11437
20210130,9082
20210131,2878
20210201,18836
20210202,74755
20210203,16433
20210204,7184
20210205,5858
20210206,3610
20210207,1394
20210208,6193
20210209,950
20210210,487
20210211,258
20210212,144
20210213,157
20210214,180
20210215,208
20210216,293
20210217,4038
20210218,3510
20210219,3475
20210220,478
20210221,1751
20210222,3741
20210223,10218
20210224,14066
20210225,6596
20210226,30284
20210227,37159
20210228,58363
20210301,17511
20210302,20461
20210303,11048
20210304,15398
20210305,4099
20210306,884
20210307,672
20210308,4757
20210309,3974
20210310,4516
20210311,5594
20210312,4215
20210313,3232
20210314,560
20210315,3193
20210316,3120
20210317,4576
20210318,4459
20210319,5575
20210320,809
20210321,469
20210322,5231
20210323,14705
20210324,7794
20210325,5095
20210326,47019
20210327,12688
20210328,402
20210329,52216
20210330,9498
20210331,11640
20210401,20208
20210402,12698
20210403,687
20210404,1986
20210405,9442
20210406,6882
20210407,5759
20210408,4552
20210409,5211
20210410,5518
20210411,607
20210412,2698
20210413,4076
20210414,3310
20210415,2801
20210416,4048
20210417,2503
20210418,510
20210419,3160
20210420,4230
20210421,3848
20210422,4071
20210423,7841
20210424,860
20210425,2612
20210426,51982
20210427,22348
20210428,9981
20210429,1700
20210430,3052
20210501,494
20210502,2234
20210503,4832
20210504,57634
20210505,18814
20210506,12486
20210507,5838
20210508,4435
20210509,807
20210510,4641
20210511,7248
20210512,3994
20210513,5393
20210514,3775
20210515,1296
20210516,559
20210517,4651
20210518,5299
20210519,4470
20210520,4566
20210521,4036
20210522,53376
20210523,514
20210524,4945
20210525,5149
20210526,58777
20210527,12888
20210528,6707
20210529,1722
20210530,4360
20210531,16821
20210601,12154
20210602,20546
20210603,13629
20210604,8009
20210605,2882
20210606,755
20210607,4895
20210608,3343
20210609,51161
20210610,8223
20210611,3339
20210612,939
20210613,780
20210614,3387
20210615,4971
20210616,3725
20210617,3856
20210618,3918
20210619,2831
20210620,871
20210621,6574
20210622,4644
20210623,5196
20210624,8121
20210625,6143
20210626,12569
20210627,1979
20210628,5882
20210629,14344
20210630,18581
20210701,24676
20210702,52346
20210703,8917
20210704,7790
20210705,6554
20210706,2594
